,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Rank 21,Rank 22,Rank 23,Rank 24,Rank 25,Rank 26,Rank 27,Rank 28,Rank 29,Rank 30,Rank 31,Rank 32,Rank 33
1,URSC,URSC,URSC,VSSC,SAC,VSSC,URSC,URSC,URSC,VSSC,PRL,URSC,URSC,URSC,URSC,URSC,URSC,VSSC,ISTRAC,URSC,URSC,ISTRAC,URSC,SAC,ISTRAC,URSC,URSC,VSSC,URSC,URSC,URSC,SAC
2,SAC,VSSC,SAC,LPSC,PRL,LPSC,VSSC,VSSC,SAC,URSC,SAC,SAC,SAC,VSSC,ISTRAC,SAC,NRSC,LPSC,VSSC,SCL,ISTRAC,SAC,SAC,PRL,SDSC,ISTRAC,VSSC,URSC,ISTRAC,ISTRAC,SAC,SCL
3,VSSC,SAC,VSSC,URSC,URSC,URSC,ISTRAC,ISTRAC,NRSC,LPSC,URSC,ISTRAC,NRSC,SAC,VSSC,NRSC,SAC,URSC,URSC,SAC,MCF,PRL,NRSC,ISTRAC,URSC,VSSC,SAC,SAC,SAC,SAC,ISTRAC,PRL
4,ISTRAC,NRSC,NRSC,SDSC,ISTRAC,ISTRAC,LPSC,NRSC,MCF,ISTRAC,VSSC,PRL,PRL,NRSC,SAC,VSSC,VSSC,ISTRAC,SDSC,PRL,SDSC,URSC,ISTRAC,SDSC,SAC,NRSC,SDSC,NRSC,PRL,SCL,VSSC,NRSC
5,SDSC,LPSC,ISTRAC,ISTRAC,SCL,SAC,SDSC,SAC,SCL,NRSC,SCL,NRSC,ISTRAC,ISTRAC,PRL,SDSC,ISTRAC,SDSC,SCL,ISTRAC,VSSC,SDSC,MCF,NRSC,NRSC,SAC,ISTRAC,LPSC,NRSC,PRL,NRSC,URSC
6,PRL,PRL,IPRC,NRSC,NRSC,NRSC,SCL,SDSC,SDSC,SAC,ISTRAC,VSSC,VSSC,SDSC,NRSC,ISTRAC,PRL,NRSC,SAC,VSSC,LPSC,VSSC,PRL,URSC,PRL,SCL,SCL,ISTRAC,SCL,VSSC,LPSC,ISTRAC
7,NRSC,MCF,PRL,MCF,VSSC,SDSC,SAC,SCL,PRL,IPRC,SDSC,SCL,SDSC,SCL,SCL,PRL,SDSC,SAC,PRL,NRSC,NRSC,LPSC,SCL,VSSC,SCL,SDSC,LPSC,PRL,VSSC,SDSC,IPRC,VSSC
8,SCL,ISTRAC,SDSC,IPRC,LPSC,PRL,PRL,PRL,VSSC,SDSC,MCF,MCF,LPSC,PRL,SDSC,SCL,LPSC,PRL,NRSC,MCF,SAC,MCF,VSSC,LPSC,VSSC,LPSC,PRL,SDSC,SDSC,NRSC,SCL,LPSC
9,MCF,SCL,LPSC,PRL,SDSC,IPRC,NRSC,MCF,LPSC,MCF,LPSC,LPSC,MCF,LPSC,LPSC,LPSC,SCL,IPRC,MCF,SDSC,SCL,IPRC,SDSC,SCL,MCF,PRL,NRSC,SCL,MCF,LPSC,PRL,MCF
10,LPSC,IPRC,SCL,SAC,MCF,SCL,MCF,LPSC,IPRC,PRL,IPRC,IPRC,SCL,IPRC,MCF,MCF,MCF,SCL,LPSC,LPSC,IPRC,SCL,LPSC,MCF,LPSC,MCF,MCF,IPRC,LPSC,MCF,MCF,SDSC
11,IPRC,SDSC,MCF,SCL,IPRC,MCF,IPRC,IPRC,ISTRAC,SCL,NRSC,SDSC,IPRC,MCF,IPRC,IPRC,IPRC,MCF,IPRC,IPRC,PRL,NRSC,IPRC,IPRC,IPRC,IPRC,IPRC,MCF,IPRC,IPRC,SDSC,IPRC